CODIGO SKU;PRODUCTO;MARCA;SERIE;PRECIO DE VENTA;STOCK INICIAL;ENTRADAS;SALIDAS;STOCK VIGENTE;CONTADOS
RYG-INY-0009;INYECTOR DE GASOLINA;CHEVROLET N300;XH300681-0280156321);130;18;0;0;18;NO CONTADO
RYG-INY-0010;INYECTOR DE GASOLINA;FAW- ORIGINAL;XH300791;130;8;0;0;8;NO CONTADO
RYG-INY-0011;INYECTOR DE GASOLINA;GREAT WALL, CHERY QQ;0280156230 / IMP-22055;130;8;0;0;8;NO CONTADO
RYG-INY-0012;INYECTOR DE GASOLINA;HYUNDAI ELANTRA;35310-2E100;130;1;5;0;6;NO CONTADO
RYG-INY-0013;INYECTOR DE GASOLINA;HYUNDAI, KIA RIO;35310-37150;130;9;0;0;9;NO CONTADO
RYG-INY-0014;INYECTOR DE GASOLINA;JAC REFINE;WL12-0022 /25345994/22051;130;11;0;0;11;NO CONTADO
RYG-INY-0015;INYECTOR DE GASOLINA;JAC REFINE MODERNO;IMP-22357;130;13;0;0;13;NO CONTADO
RYG-INY-0016;INYECTOR DE GASOLINA;KIA PICANTO-HYUNDAI I10 2012;37310-2B000/IMP-22088;130;3;4;2;5;CONTADO
RYG-INY-0017;INYECTOR DE GASOLINA;LIFAN;IMP-22054;130;4;0;0;4;NO CONTADO
RYG-INY-0018;INYECTOR DE GASOLINA;NISSAN SENTRA GA16;WL12-0117;130;6;0;0;6;NO CONTADO
RYG-INY-0019;INYECTOR DE GASOLINA;NISSAN TIDDA;16600-ED000;130;4;0;0;4;NO CONTADO
RYG-INY-0020;INYECTOR DE GASOLINA;RENAULT LOGAN;280158034;130;10;0;0;10;NO CONTADO
RYG-INY-0021;INYECTOR DE GASOLINA;SUBARU,FAW,SUZUKI APV;DF1571061J00 / 22166;130;15;0;0;15;NO CONTADO
RYG-INY-0022;INYECTOR DE GASOLINA;SUZUKI;180412306;130;4;0;0;4;NO CONTADO
RYG-INY-0023;INYECTOR DE GASOLINA;TOYOTA 4E;DF2325016150-DF2325011050;130;10;0;2;8;NO CONTADO
RYG-INY-0024;INYECTOR DE GASOLINA;TOYOTA CELCA;DF2320974100;130;7;0;0;7;NO CONTADO
RYG-INY-0025;INYECTOR DE GASOLINA;TOYOTA YARIS;23250-21040 ( WL12-0115);130;3;0;1;2;NO CONTADO
RYG-INY-0026;INYECTOR DE GASOLINA;TOYOTA YARIS MODERNO 2017;280158213;130;6;0;2;4;NO CONTADO
RYG-INY-0027;INYECTOR DE GASOLINA;BYD F3, DONGFEN;DF28152065 : WL12-0120/28264039/IH-18105;130;8;0;0;8;NO CONTADO
RYG-INY-0028;INYECTOR DE GASOLINA;CHANA/HAFEI/DFSK/CHANGAN WULING;280156171;130;0;6;0;6;NO CONTADO
RYG-INY-0029;INYECTOR DE GASOLINA;CHERY TIGGO 2;3611011;130;5;0;0;5;NO CONTADO
RYG-INY-0031;INYECTOR DE GASOLINA;TOYOTA COROLLA 5A-FE;IMP-22153 / 22250-15030;130;4;0;0;4;NO CONTADO
RYG-INY-0032;INYECTOR DE GASOLINA;SUZUKI ERTIGA 1.5;15710-70R00;130;0;0;0;0;NO CONTADO
RYG-INY-0033;INYECTOR DE GASOLINA (SEGUNDA);;;130;4;0;0;4;NO CONTADO
RYG-INY-0034;INYECTOR DE GASOLINA IMPORTACION;QG;;130;15;0;4;11;NO CONTADO
RYG-INY-0035;INYECTOR GASOLINA;BYDF3,GELLY, DONGFEN MOTOR MITSUBISHI 1.6CC;DF0280156166/IH-18081;130;6;0;0;6;NO CONTADO
RYG-INY-0036;INYECTOR GASOLINA;HYUNDAI- KIA PICANTO;WL12-0129/04000;130;30;0;0;30;NO CONTADO
RYG-INY-0037;INYECTOR HYUNDAI;ELANTRA - SONATA KIA;35310-2B020;130;4;0;0;4;NO CONTADO
RYG-INY-0038;INYECTORES DE GASOLINA;TOYOTA PROBOX;FBJD100/23250-21020;120;2;6;0;8;NO CONTADO
RYG-INY-0039;INYECTOR DE GASOLINA;JAC J3,J6;2843520;130;0;6;4;2;NO CONTADO
RYG-KIT-0001;KIT DE ACCESORIOS LANDIRENZO;ESTÁNDAR;674915000;150;6;50;12;44;NO CONTADO
RYG-KIT-0002;KIT DE ACCESORIOS RAIL;;;120;12;30;18;24;NO CONTADO
RYG-LIM-0001;LIMPIA CATALIZADDOR;;;60;0;0;0;0;NO CONTADO
RYG-LIM-0002;LIMPIA MOTOR;;;25;11;0;1;10;NO CONTADO
RYG-LIM-0003;LIMPIACONTACTO;;;15;0;0;1;-1;NO CONTADO
RYG-MNG-0001;MANGUERA CORRUGADA : GRANDE;;;15;39;0;0;39;NO CONTADO
RYG-MNG-0002;MANGUERA CORRUGADA : MEDIANA;;;15;102;0;0;102;NO CONTADO
RYG-MNG-0003;MANGUERA CORRUGADA : PEQUEÑA;;;15;20;0;0;20;NO CONTADO
RYG-MNG-0004;MANGUERA DE AGUA GLP 16MM;ESTANDAR;;20;0;0;0;0;NO CONTADO
RYG-MNG-0005;MANGUERA DE AGUA GNV 8MM;ESTANDAR;;20;0;0;0;0;NO CONTADO
RYG-MNG-0006;MANGUERA DE GAS 12 MM;ESTANDAR;;20;0;0;0;0;NO CONTADO
RYG-MNG-0007;MANGUERA DE VACIO 5..5 MM;ESTANDAR;;20;0;0;0;0;NO CONTADO
RYG-MAN-0001;MANOMETRO 3RA T.A.;;;70;9;0;0;9;NO CONTADO
RYG-MAN-0002;MANOMETRO A.E.B.;;;80;5;0;0;5;NO CONTADO
RYG-MAN-0003;MANOMETRO AUGE 12 VLT;ESTANDAR;;90;3;0;0;3;NO CONTADO
RYG-MAN-0004;MANOMETRO AUGE 5VOLT;;;90;12;40;32;20;NO CONTADO
RYG-MAN-0005;MANOMETRO IGT;;;90;2;0;0;2;NO CONTADO
RYG-MAN-0006;MANOMETRO LOVATO;;;90;4;0;0;4;NO CONTADO
RYG-MAN-0007;MANOMETROS GNV T.A 5TA;ESTÁNDAR;;90;1;0;0;1;NO CONTADO
RYG-MZC-0001;MEZCLADOR;DAEWOO RACER;;70;7;0;0;7;NO CONTADO
RYG-MZC-0002;MEZCLADOR #45;;;90;5;0;1;4;NO CONTADO
RYG-MZC-0003;MEZCLADOR #60;;;70;3;0;0;3;NO CONTADO
RYG-MZC-0004;MEZCLADOR #65;;;70;7;0;0;7;NO CONTADO
RYG-MZC-0005;MEZCLADOR #70;;;90;3;0;1;2;NO CONTADO
RYG-MZC-0006;MEZCLADOR #71;;;90;7;0;3;4;NO CONTADO
RYG-MZC-0007;MEZCLADOR #84;;;90;1;0;1;0;NO CONTADO
RYG-MZC-0008;MEZCLADOR DE MOTO;;;90;4;0;0;4;NO CONTADO
RYG-MZC-0009;MEZCLADOR PAYASITO;;;90;0;0;0;0;NO CONTADO
RYG-MZC-0010;MEZCLADORES N° 62;ESTANDAR;;90;0;0;0;0;NO CONTADO
RYG-MZC-0011;MEZCLADORES N°56;ESTANDAR;;90;1;0;0;1;NO CONTADO
RYG-MZC-0012;MEZCLADORES N°57;ESTANDAR;;60;5;0;0;5;NO CONTADO
RYG-MZC-0013;MEZCLADORES N°61;ESTANDAR;;60;5;0;1;4;NO CONTADO
RYG-MZC-0014;MEZCLADORES N°63;ESTANDAR;ALTO;90;0;0;0;0;NO CONTADO
RYG-MZC-0015;MEZCLADORES N°63;ESTANDAR;BAJO;90;11;0;3;8;NO CONTADO
RYG-MZC-0016;MEZCLADORES N°78;ESTANDAR;;90;6;0;0;6;NO CONTADO
RYG-MZC-0017;MEZCLADOR #87;;;0;0;5;0;5;NO CONTADO
RYG-MIN-0001;MINI CATALIZADOR;;;180;3;0;1;2;NO CONTADO
RYG-MOD-0001;MODULO TICO;;13260-78B00-000;130;0;0;0;0;NO CONTADO
RYG-MLV-0001;MULTIVALVULA CILINDRICO CON BOBINA;ESTÁNDAR;;300;0;0;0;0;NO CONTADO
RYG-MLV-0002;MULTIVALVULA CILINDRICO SIN BOBINA;ESTÁNDAR;;280;4;20;9;15;CONTADO
RYG-MLV-0003;MULTIVALVULA PARA TANQUE 12 GL;BRC;;0;1;0;0;1;NO CONTADO
RYG-MLV-0004;MULTIVALVULA PARA TANQUE 15 GL;BRC;;0;1;0;0;1;NO CONTADO
RYG-MLV-0005;MULTIVALVULA TOROIDAL;BRC;;450;0;0;0;0;NO CONTADO
RYG-MLV-0006;MULTIVALVULA TOROIDAL;ESTANDAR;;280;15;0;8;7;CONTADO
RYG-MLV-0007;MULTIVALVULA TOROIDAL PARA TANQUE DE 12 A 15 GL;;;320;7;0;1;6;CONTADO
RYG-NIP-0001;NIPLES GLP 6MM;ESTANDAR;;2;0;0;0;0;NO CONTADO
RYG-NIP-0002;NIPLES GLP 8MM;ESTANDAR;;2;0;0;0;0;NO CONTADO
RYG-NIP-0003;NIPLES GNV;ESTANDAR;;2;0;0;0;0;NO CONTADO
RYG-OBT-0001;OBTURADOR NISSAN QG;;;350;1;0;1;0;NO CONTADO
RYG-OBT-0002;OBTURADOR TOYOTA PROBOX;;;300;2;0;0;2;NO CONTADO
RYG-ORG-0001;ORRINES ASIENTO DE TOYOTA TIPO RUEDA;TOYOTA;;2;100;0;0;100;NO CONTADO
RYG-ORG-0002;ORRINES CHINOS;ESTANDAR;;2;100;0;0;100;NO CONTADO
RYG-ORG-0003;ORRINES G.A GRANDES;NISSAN;;2;100;0;0;100;NO CONTADO
RYG-ORG-0004;ORRINES G.A MODERNO;NISSAN;;2;100;0;0;100;NO CONTADO
RYG-ORG-0005;ORRINES G.A PEQUEÑO;NISSAN;;2;100;0;0;100;NO CONTADO
RYG-ORG-0006;ORRINES GR15 GRUESO;NISSAN;;2;100;0;0;100;NO CONTADO
RYG-ORG-0007;ORRINES GRUESOS;ESTANDAR;;2;100;0;0;100;NO CONTADO
RYG-ORG-0008;ORRINES LIFAN;LIFAN;;2;100;0;0;100;NO CONTADO
RYG-ORG-0009;ORRINES Q.G;NISSAN;;2;100;0;0;100;NO CONTADO
RYG-ORG-0010;ORRINES TOYOTA;TOYOTA;;2;100;0;0;100;NO CONTADO
RYG-PRN-0001;PERNO DE 7/16 MM - 1 PULGADA;ESTANDAR - HEXAG GR-8 7/16 X 1;PG80066;1;101;0;0;101;NO CONTADO
RYG-PRN-0002;PERNO DE 7/16 MM - 1.5 PULGADA;ESTANDAR - HEXAG GR-8 7/16 X 1 1/2;PG80066;1;102;0;0;102;NO CONTADO
RYG-PRN-0003;PERNO DE 7/16 MM - 2 PULGADAS;ESTANDAR - HEXAG GR-8 7/16 X 2;PG80066;1;103;0;0;103;NO CONTADO
RYG-PRN-0004;PERNO DE 7/16 MM - 2.5 PULGADAS;ESTANDAR - HEXAG GR-8 7/16 X 2 1/2;PG80066;1;104;0;0;104;NO CONTADO
RYG-PRN-0005;PERNO DE 7/16 MM - 3 PULGADAS;ESTANDAR - HEXAG GR-8 7/16 X 3;PG80066;1;105;0;0;105;NO CONTADO
RYG-PRN-0006;PERNO DE 7/16 MM - 4 PULGADAS;ESTANDAR - HEXAG GR-8 7/16 X 4;PG80066;1;106;0;0;106;NO CONTADO
RYG-PIN-0001;PINTURA NEGRA - SPRAY;ESTANDAR - SPRAY NEGRO;;10;69;0;0;69;NO CONTADO
RYG-POR-0001;PORTACHIP;;;10;3;102;12;93;NO CONTADO
RYG-POR-0002;PORTAFUSIBLE;ESTÁNDAR;;10;278;0;18;260;NO CONTADO
RYG-PRE-0001;PRESERVANTE DE COMBUSTIBLE;;;75;8;0;1;7;NO CONTADO
RYG-RML-0001;RAMAL;ELANTRA-STA. FE;39180-26900;120;1;0;0;1;NO CONTADO
RYG-RML-0002;RAMAL DE CONMUTADOR;;;0;156;0;0;156;NO CONTADO
RYG-RED-0001;REDUCCIONES DE AGUA;;3/4 8MM;50;50;0;0;50;NO CONTADO
RYG-RDC-0001;REDUCTOR 3ERA AT07 GLP;TOMASSETTO ACHILLE;;380;8;6;6;8;NO CONTADO
RYG-RDC-0002;REDUCTOR 3ERA GNV AT04 TOMASETTO;TOMASSETTO ACHILLE;;480;0;10;3;7;NO CONTADO
RYG-RDC-0003;REDUCTOR 3RA GLP;LOVATO;;380;2;0;2;0;NO CONTADO
RYG-RDC-0004;REDUCTOR 3RA GNV;LOVATO;;380;10;0;0;10;NO CONTADO
RYG-RDC-0005;REDUCTOR 5TA AT09 GLP;TOMASSETTO ACHILLE;REDGLP0001;450;21;13;35;-1;CONTADO
RYG-RDC-0006;REDUCTOR 5TA GLP SUPER;LOVATO;;550;1;0;0;1;NO CONTADO
RYG-RDC-0007;REDUCTOR 5TA GLP (SUPER);TOMASSETTO ACHILLE;;550;0;2;0;2;NO CONTADO
RYG-RDC-0008;REDUCTOR 5TA GNV;BRC;;600;1;0;0;1;NO CONTADO
RYG-RDC-0009;REDUCTOR 5TA GNV;STAG;;680;1;0;0;1;NO CONTADO
RYG-RDC-0010;REDUCTOR 5TA GNV;LANDIRENZO;;680;1;0;0;1;NO CONTADO
RYG-RDC-0011;REDUCTOR 5TA GNV AT12 (SUPER);TOMASSETTO ACHILLE;;650;3;0;1;2;NO CONTADO
RYG-RDC-0012;REDUCTOR 5TA GNV AT12 TOMASETTO;CORDAEZ;;550;2;0;1;1;NO CONTADO
RYG-RDC-0013;REDUCTOR DE 3RA GLP;ATICKER;;350;1;0;0;1;NO CONTADO
RYG-RDC-0014;REDUCTOR DE 5TA GNV AT12 TOMASETTO;TOMASSETTO ACHILLE;;550;11;10;16;5;CONTADO
RYG-REF-0001;REFRIGERANTE ROJO DE 1 LITRO;;;25;4;10;4;10;NO CONTADO
RYG-REF-0002;REFRIGERANTE ROJO DE GALON;;;68;6;19;16;9;NO CONTADO
RYG-REF-0003;REFRIGERANTE VERDE DE 1 LITRO;;;20;18;0;0;18;NO CONTADO
RYG-REF-0004;REFRIGERANTE VERDE DE GALON;;;50;6;12;8;10;NO CONTADO
RYG-REG-0001;REGULADOR DE ALTA METAL;ESTANDAR;;25;0;61;7;54;NO CONTADO
RYG-REG-0002;REGULADOR DE GASOLINA;EPICA- OPTRA;96423299;130;8;0;0;8;NO CONTADO
RYG-REG-0003;REGULADOR DE GASOLINA;CHERY;IMP-72035;130;7;0;0;7;NO CONTADO
RYG-REG-0004;REGULADOR DE GASOLINA;CHEVROLET 4 BAR;IMP-72129;130;14;0;0;14;NO CONTADO
RYG-REG-0005;REGULADOR DE GASOLINA;DFSK;CD-T8141;130;12;0;0;12;NO CONTADO
RYG-REG-0006;REGULADOR DE GASOLINA;DONGFEN;25365835;130;11;0;0;11;NO CONTADO
RYG-REG-0007;REGULADOR DE GASOLINA;HYUNDAI;IMP-72020;130;2;0;0;2;NO CONTADO
RYG-REG-0008;REGULADOR DE GASOLINA;HYUNDAI;35301-2P000;130;4;0;0;4;NO CONTADO
RYG-REG-0009;REGULADOR DE GASOLINA;HYUNDAI ACCENT ORIGINAL;35301-1G000;130;8;0;0;8;NO CONTADO
RYG-REG-0010;REGULADOR DE GASOLINA;HYUNDAI ELANTRA 96;JH10690-0047;130;2;0;0;2;NO CONTADO
RYG-REG-0011;REGULADOR DE GASOLINA;KIA PICANTO;35301-07000;130;3;0;0;3;NO CONTADO
RYG-REG-0012;REGULADOR DE GASOLINA;NISSAN;22670-AH110;130;2;0;0;2;NO CONTADO
RYG-REG-0013;REGULADOR DE GASOLINA;NISSAN;22670-8H300;130;4;0;0;4;NO CONTADO
RYG-REG-0014;REGULADOR DE GASOLINA;NISSAN GA;MPDB20;130;3;0;0;3;NO CONTADO
RYG-REG-0015;REGULADOR DE GASOLINA;NISSAN GA;ITEM-TYR-071;130;3;0;0;3;NO CONTADO
RYG-REG-0016;REGULADOR DE GASOLINA;TOYOTA COROLA;23280-21010;130;11;0;0;11;NO CONTADO
RYG-REG-0017;REGULADOR DE GASOLINA;TOYOTA PROBOX;23280-22010;130;3;0;0;3;NO CONTADO
RYG-REG-0018;REGULADOR DE GASOLINA;JAC REFINE;BARJH10690-0015/52275;130;0;3;0;3;NO CONTADO
RYG-REL-0001;RELAY 5 PATITAS;ESTANDAR;;5;12;0;12;0;NO CONTADO
RYG-RIE-0001;RIEL DE GAS;IGT;;380;0;0;0;0;NO CONTADO
RYG-RIE-0002;RIEL DE GAS;LANDIRENZO;;500;4;20;4;20;NO CONTADO
RYG-RIE-0003;RIEL DE GAS;BRC(ALVA);;0;1;0;0;1;NO CONTADO
RYG-RIE-0004;RIEL DE GAS (2 BOBINA);ESTÁNDAR;;380;16;0;1;15;NO CONTADO
RYG-RIE-0005;RIEL DE GAS (3 BOBINA);ESTÁNDAR;;380;15;0;2;13;NO CONTADO
RYG-RIE-0006;RIEL DE GAS 4CIL IG4 DAKOTA RAIL + RAMPA;PLOMO;2 OHM;500;3;2;1;4;NO CONTADO
RYG-RIE-0007;RIEL DE GAS 4CIL IG4 DAKOTA RAIL + RAMPA;VERDE;1.5 OHM;520;0;2;0;2;NO CONTADO
RYG-RIE-0008;RIEL DE GAS 4CIL IG4 DAKOTA RAIL + RAMPA;NEGRO;1.9 OHM;500;2;0;1;1;NO CONTADO
RYG-RIE-0009;RIEL DE GAS IG7;DAKOTA;;450;3;0;0;3;NO CONTADO
RYG-RIE-0010;RIEL DE GAS IG7 (3 CIL);;;500;2;0;0;2;NO CONTADO
RYG-RIE-0011;RIEL DE GAS IG7 (4 CIL);;;450;4;0;0;4;NO CONTADO
RYG-RIE-0012;RIEL DE GAS RAIL;;;380;39;45;41;43;NO CONTADO
RYG-RIE-0013;RIEL DE INYECTOR ( SOLO INYECTORE);BRC;;350;1;0;1;0;NO CONTADO
RYG-RIE-0014;RIEL DE INYECTOR INDEPENDIENTE;BRC BLUE;;400;32;0;0;32;NO CONTADO
RYG-SNR-0001;SENOSR IAC;CHEVROLET SPARK ,DAEWOO, CILEO;17059602;120;8;0;2;6;NO CONTADO
RYG-SNR-0002;SENOSR IAC;DONGFEN;61296;120;9;0;0;9;NO CONTADO
RYG-SNR-0003;SENOSR IAC;JAC;F01R065905;120;8;0;0;8;NO CONTADO
RYG-SNR-0004;SENOSR IAC;JAC REFINE;17102851;120;8;0;0;8;NO CONTADO
RYG-SNR-0005;SENOSR IAC;JHON LONG;F012065901;120;5;0;0;5;NO CONTADO
RYG-SNR-0006;SENOSR IAC;JIMBEI HAISE;CV00218-1181;120;2;0;0;2;NO CONTADO
RYG-SNR-0007;SENOSR IAC;CHANGAN / N300;F01R065906;120;13;10;16;7;NO CONTADO
RYG-SNR-0008;SENSOR CHEVROLET SPARK LITE IAC;ESTÁNDAR;IMP-02066;120;3;0;0;3;NO CONTADO
RYG-SNR-0009;SENSOR DE CIGÜEÑAL;JAC REFINE MODERNO;F01R00F009;130;3;0;0;3;NO CONTADO
RYG-SNR-0010;SENSOR DE CIGÜEÑAL;KIA PICANTO;39180-04000;130;5;0;0;5;NO CONTADO
RYG-SNR-0011;SENSOR DE EJE DE LEVA;CHEVROLET TRACKER / HYUNDAI STA FE / KIA;39310-38050;130;5;0;0;5;NO CONTADO
RYG-SNR-0012;SENSOR DE EJE DE LEVA;HYUNDAI ATOS / KIA PICANTO;39350-02710;130;4;0;0;4;NO CONTADO
RYG-SNR-0013;SENSOR DE FLUJO DE AIRE;HYUNDAI;IMP-58027;130;1;0;0;1;NO CONTADO
RYG-SNR-0014;SENSOR DE GOLPETEO;CHEVROLET SAIL;IMP-45006;130;1;0;0;1;NO CONTADO
RYG-SNR-0015;SENSOR DE LEVA;CHANGAN;F01R00B003;130;7;0;0;7;NO CONTADO
RYG-SNR-0016;SENSOR DE LEVA;CHEVROLET SPARK 3CC;96325867;130;2;0;0;2;NO CONTADO
RYG-SNR-0017;SENSOR DE LEVA;HYUNDAI;2B030;130;8;0;0;8;NO CONTADO
RYG-SNR-0018;SENSOR DE LEVA;HYUNDAI I10;3935026900;130;5;0;0;5;NO CONTADO
RYG-SNR-0019;SENSOR DE LEVA;JAC REFINE ORIGINAL;85021 - IMP-H7425;130;3;0;0;3;NO CONTADO
RYG-SNR-0020;SENSOR DE LEVA;NISSAN PATHFINDER;IMP-82122;130;2;0;0;2;NO CONTADO
RYG-SNR-0021;SENSOR DE LEVA;SPARK GPT;96325868;130;0;3;1;2;NO CONTADO
RYG-SNR-0022;SENSOR DE LEVA;DFSK;3752020/D1502;130;0;0;1;-1;NO CONTADO
RYG-SNR-0023;SENSOR DE LEVAS BOSCH;CHANGAN;261210143;130;8;0;0;8;NO CONTADO
RYG-SNR-0024;SENSOR DE LEVAS BOSCH;NISSAN ALTIMA;IMP-82026;130;1;0;0;1;NO CONTADO
RYG-SNR-0025;SENSOR DE LEVA;HYUNDAI ACCENT / KIA RIO;39350-3F100;130;0;0;0;0;NO CONTADO
RYG-SNR-0026;SENSOR DE MINIMO;HYUNDAI ACCENT KIA RIO 2010;IH-24035;120;1;0;0;1;NO CONTADO
RYG-SNR-0027;SENSOR DE NIVEL;BRC;DEL EQUIPO;280;0;0;0;0;NO CONTADO
RYG-SNR-0028;SENSOR DE NIVEL 1090 (SIN RAMAL);;;90;11;0;0;11;NO CONTADO
RYG-SNR-0029;SENSOR DE NIVEL;STAG;;280;4;0;0;4;NO CONTADO
RYG-SNR-0030;SENSOR DE NIVEL 1050 ( SIN RAMAL);;;90;0;0;0;0;NO CONTADO
RYG-SNR-0031;SENSOR DE NIVEL 1050 GLP;ESTANDAR;;150;1;20;23;-2;CONTADO
RYG-SNR-0032;SENSOR DE NIVEL 1090 GLP;ESTANDAR;;150;8;0;2;6;NO CONTADO
RYG-SNR-0033;SENSOR DE OXIGENO;HYUNDAI;BN-14020/ 39210-286310;180;4;0;1;3;NO CONTADO
RYG-SNR-0034;SENSOR DE OXIGENO ALTERNATIVO;CHEVROLET PRISMA;;0;1;0;0;1;NO CONTADO
RYG-SNR-0035;SENSOR DE OXIGENO BOSH;;;180;3;2;2;3;NO CONTADO
RYG-SNR-0036;SENSOR DE OXIGENO ORIGINAL;CHEVROLET PRISMA;;0;1;0;0;1;NO CONTADO
RYG-SNR-0037;SENSOR DE SIGUEÑAL;HYUNDAI /SONATA / TUCSON / STA FE;39180-25300;130;4;0;0;4;NO CONTADO
RYG-SNR-0038;SENSOR DE SIGUEÑAL;DFSK;25C1119NN;130;1;0;0;1;NO CONTADO
RYG-SNR-0039;SENSOR DE SIGUEÑAL;HYUNDAI ELANTRA KIA CERATO;39180-23500;130;6;0;0;6;NO CONTADO
RYG-SNR-0040;SENSOR DE SIGUEÑAL;KIA;39180-22600;130;1;0;0;1;NO CONTADO
RYG-SNR-0041;SENSOR DE SIGUEÑAL;LEVA DONG FEN;28091971;130;2;0;0;2;NO CONTADO
RYG-SNR-0042;SENSOR DE SIGUEÑAL;LIFAN;IMP-82086;130;1;0;0;1;NO CONTADO
RYG-SNR-0043;SENSOR DE SIGUEÑAL;NISSAN QG;23731-4M500;130;5;0;0;5;NO CONTADO
RYG-SNR-0044;SENSOR DE SIGUEÑAL;KIA PICANTO;39180-03200;130;3;0;0;3;NO CONTADO
RYG-SNR-0045;SENSOR DE SIGÜEÑAL;CARRO CHIÑO;ZSCC1114;130;1;0;0;1;NO CONTADO
RYG-SNR-0046;SENSOR DE SIGÜEÑAL;CHEVROLET SAIL;12615626;130;7;0;0;7;NO CONTADO
RYG-SNR-0047;SENSOR DE SIGÜEÑAL;DFSK;ZSC1114F;130;7;0;0;7;NO CONTADO
RYG-SNR-0048;SENSOR DE SIGÜEÑAL;N300;24533468;130;6;0;0;6;NO CONTADO
RYG-SNR-0049;SENSOR DE TEMPERATURA DE REDUCTOR;DFSK C37;BN-82021;80;6;0;0;6;NO CONTADO
RYG-SNR-0050;SENSOR DE TEMPERATURA DE REDUCTOR;;;80;14;52;31;35;NO CONTADO
RYG-SNR-0051;SENSOR DE TPS;CHEVROLET SPARK 3CC;SS11112-11B1;130;1;0;0;1;NO CONTADO
RYG-SNR-0052;SENSOR FLUJO DE AIRE;NISSAN;22680-4M501;250;4;0;0;4;NO CONTADO
RYG-SNR-0053;SENSOR IAC;GREAT WALL WINGLE;C5185A;0;0;0;0;0;NO CONTADO
RYG-SNR-0054;SENSOR LEVA;CHANGAN;GTH-1427;130;9;0;1;8;NO CONTADO
RYG-SNR-0055;SENSOR MAP;CHEVROLET AVEO;261230282;120;1;0;0;1;NO CONTADO
RYG-SNR-0056;SENSOR MAP;CHEVROLET SPARK- DAEWOO MATIZ;96330547;120;2;0;0;2;NO CONTADO
RYG-SNR-0057;SENSOR MAP;CHEVY TAXY;ID16-69240 / 12569240;120;3;0;0;3;NO CONTADO
RYG-SNR-0058;SENSOR MAP;HYUNDAI;39300-2B000;120;3;0;0;3;NO CONTADO
RYG-SNR-0059;SENSOR MAP;BRC;;0;1;0;0;1;NO CONTADO
RYG-SNR-0060;SENSOR MAP;LANDIRENZO;;0;0;0;0;0;NO CONTADO
RYG-SNR-0061;SENSOR MAP;ITATRONIC;;120;0;1;1;0;NO CONTADO
RYG-SNR-0062;SENSOR MAP DE GAS;;;120;-2;29;3;24;NO CONTADO
RYG-SNR-0063;SENSOR SIGUEÑAL;KIA RIO 2015;39180-2B000;130;8;0;1;7;NO CONTADO
RYG-SNR-0064;SENSOR SIGUEÑAL;SONATA-KIA OPTIMA;39180-23910;130;2;0;0;2;NO CONTADO
RYG-SNR-0065;SENSOR TPS;CHANGAN;F01R064915;120;2;0;0;2;NO CONTADO
RYG-SNR-0066;SENSOR TPS;CHEVROLET SPARK;IMP- 92050;120;1;0;0;1;NO CONTADO
RYG-SNR-0067;SENSOR DE LEVA;DFSK-GLORY;3752020/D1502;130;0;4;0;4;NO CONTADO
RYG-SIL-0001;SILICONA;;;15;0;0;0;0;NO CONTADO
RYG-STI-0001;STICKER CONMUTADOR;;;10;25;0;1;24;NO CONTADO
RYG-TXX-0001;T DE AGUA GLP;METAL;19*16*19;25;52;0;12;40;NO CONTADO
RYG-TXX-0002;T DE AGUA GLP;BRC;;25;4;0;0;4;NO CONTADO
RYG-TXX-0003;T DE AGUA GLP;PLÁSTICO;;25;28;0;0;28;NO CONTADO
RYG-TXX-0004;T DE AGUA GLP;METAL;16*16*16;25;28;0;17;11;NO CONTADO
RYG-TXX-0005;T DE AGUA GNV;METAL;19*8*19;25;24;0;9;15;NO CONTADO
RYG-TXX-0006;T DE AGUA GNV;METAL;16*8*16;25;47;0;6;41;NO CONTADO
RYG-TXX-0007;T DE MANOMETRO;ESTANDAR;;25;37;0;0;37;NO CONTADO
RYG-TNQ-0001;TANQUE GLP TOROIDAL 9 GL  BRIDA INTERNA;;;400;9;0;10;-1;CONTADO
RYG-TNQ-0002;TANQUE GLP CILINDRICO 11GL;;;450;3;3;6;0;NO CONTADO
RYG-TNQ-0003;TANQUE GLP CILINDRICO 9 GL;;;300;1;3;1;3;NO CONTADO
RYG-TNQ-0004;TANQUE GLP LENTEJITA  5 GL;;;250;0;0;0;0;NO CONTADO
RYG-TNQ-0005;TANQUE GLP LENTEJITA 7 GL;;;250;0;0;0;0;NO CONTADO
RYG-TNQ-0006;TANQUE GLP TOROIDAL 12GL  BRIDA EXTERNA;;;600;0;0;0;0;NO CONTADO
RYG-TNQ-0007;TANQUE GLP TOROIDAL 12GL  BRIDA INTERNA;;;650;2;0;0;2;NO CONTADO
RYG-TNQ-0008;TANQUE GLP TOROIDAL 15 GL  BRIDA INTERNA;;;450;3;0;1;2;NO CONTADO
RYG-TNQ-0009;TANQUE GLP TOROIDAL 15 GL BRIDA EXTERNA;;;750;3;0;1;2;NO CONTADO
RYG-TNQ-0010;TANQUE GLP TOROIDAL 7GL BRIDA INTERNA;;;350;0;0;0;0;NO CONTADO
RYG-TNQ-0011;TANQUE GLP TOROIDAL 9GL BRIDA EXTERNA;;;360;2;0;2;0;NO CONTADO
