CODIGO SKU;PRODUCTO;MARCA;SERIE;PRECIO DE VENTA;STOCK INICIAL;ENTRADAS;SALIDAS;STOCK VIGENTE;CONTADOS
RYG-CAE-0001;CAÑERIA 8mm;;;90;14;0;0;14;NO CONTADO
RYG-CAE-0002;CAÑERIA GNV 6MM;ESTÁNDAR;;140;282;0;36;246;NO CONTADO
RYG-CHU-0001;CHUPON;RENAULT;;10;50;0;0;50;NO CONTADO
RYG-CHU-0002;CHUPON;TOYOTA AVANZA;;10;129;0;12;117;NO CONTADO
RYG-CHU-0003;CHUPON;TOYOTA YARIS;;10;1055;100;36;1119;NO CONTADO
RYG-CHU-0004;CHUPON;CHANGUE / SUSUKI;WL27-0005;10;131;0;7;124;NO CONTADO
RYG-CHU-0005;CHUPON;CHEVROLET SAIL;WL27-0001;10;28;0;16;12;NO CONTADO
RYG-CHU-0006;CHUPON;COROLOM;;10;22;0;0;22;NO CONTADO
RYG-CHU-0007;CHUPON;DONFEN;WL26-0139;10;39;0;9;30;NO CONTADO
RYG-CHU-0008;CHUPON;FAW;WL26-0085;10;36;0;5;31;NO CONTADO
RYG-CHU-0009;CHUPON;HYUNDAY;WL27-0004;10;54;0;15;39;NO CONTADO
RYG-CHU-0010;CHUPON;HYUNDAY ACCENT-KIA RIO;WL27-0003;10;19;50;8;61;NO CONTADO
RYG-CHU-0011;CHUPON;KIA PICANTO;WL27-0007;10;79;0;8;71;NO CONTADO
RYG-CHU-0012;CHUPON;SONATA;AG-90081;10;79;0;0;79;NO CONTADO
RYG-CHU-0013;CHUPON;SUZUKI CELERIO;WL26-0405;10;19;0;0;19;NO CONTADO
RYG-CHU-0014;CHUPON PEQUEÑO;SUSUKI SWIFT;;10;26;0;0;26;NO CONTADO
RYG-CIN-0001;CINTA AISLANTE;ESTÁNDAR;;5;0;0;0;0;NO CONTADO
RYG-CINTI-0001;CINTILLO GRANDE;ESTÁNDAR;;3;0;0;0;0;NO CONTADO
RYG-CINTI-0002;CINTILLO PEQUEÑO;ESTÁNDAR;;3;0;0;0;0;NO CONTADO
RYG-COD-0001;CODO DE REDUCTOR;;;25;43;0;36;7;CONTADO
RYG-COD-0002;CODO DE REDUCTOR (METAL);;;25;4;0;0;4;NO CONTADO
RYG-COD-0003;CODO DE REDUCTOR GAS;;;25;99;0;0;99;NO CONTADO
